Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,126.279999,126.32,107.300003,109.050003,109.050003,32371900
2015-03-20,197.449997,198.990005,195.619995,198.080002,198.080002,4269500
2016-03-08,203.5,207.5,202.199997,202.600006,202.600006,4178700
2013-10-03,175.050003,179.690002,168,173.309998,173.309998,23816500
2011-02-22,22.879999,23,21.780001,21.870001,21.870001,2064600
2010-11-12,28.25,30.5,28.07,29.84,29.84,2729100
2018-12-13,370.149994,377.440002,366.75,376.790009,376.790009,7365900
2018-10-19,267.390015,269.660004,253.5,260,260,9375500
2010-10-11,20.440001,20.700001,20.07,20.24,20.24,171200
2013-10-10,173.089996,175.75,169.690002,172.929993,172.929993,8883900
2019-06-28,220.990005,225.169998,220.800003,223.460007,223.460007,6851400
2013-08-05,140.009995,144.889999,139.649994,144.679993,144.679993,10200700
2010-11-05,24.870001,24.969999,23.719999,24.440001,24.440001,1011000
2017-05-03,317.670013,321.529999,310.450012,311.019989,311.019989,7133400
2019-01-24,283.029999,293.679993,279.279999,291.51001,291.51001,8012200
2011-01-07,28,28.58,27.9,28.24,28.24,2247900
2011-05-20,28.26,28.280001,27.35,27.969999,27.969999,842500
2015-08-14,247.240005,247.929993,241.770004,243.149994,243.149994,4364800
2013-01-10,33.869999,33.990002,33.380001,33.529999,33.529999,922500
2010-08-10,19.65,19.65,18.82,19.030001,19.030001,1281300
2016-11-08,193.789993,197.490005,191.259995,194.940002,194.940002,3267600
2010-11-26,35.599998,36,34.75,35.32,35.32,350600
2012-01-06,27.200001,27.790001,26.41,26.91,26.91,986300
2017-11-24,313.790009,316.410004,311,315.549988,315.549988,3244100
2019-07-12,239.75,245.380005,239.710007,245.080002,245.080002,9200500
2012-12-06,33.82,34.799999,33.5,33.900002,33.900002,660400
2010-10-06,21.059999,21.26,20.32,20.459999,20.459999,313400
2013-06-25,103.099998,104.199997,100.550003,102.400002,102.400002,5848700
2011-03-15,22.200001,22.959999,21.799999,22.950001,22.950001,1318800
2010-12-10,32.049999,32.919998,31.129999,31.52,31.52,429400
2011-10-26,28.190001,28.370001,27.4,27.98,27.98,510500
2014-05-13,183.759995,191.339996,183,190.160004,190.160004,7097200
2013-08-28,169.059998,171.5,163.25,166.449997,166.449997,14740100
2016-09-29,205.600006,207.330002,200.580002,200.699997,200.699997,2727000
2017-06-12,357.98999,364.5,350.619995,359.01001,359.01001,10517700
2016-03-23,232.369995,234.729996,222.029999,222.580002,222.580002,4948800
2011-07-11,28.4,28.530001,28,28.35,28.35,975800
2014-09-02,275.5,284.890015,274.299988,284.119995,284.119995,9852400
2013-09-17,165.080002,168.419998,163.360001,166.229996,166.229996,5496900
2013-02-27,34.41,35.41,34.400002,35.099998,35.099998,1959200
2019-12-13,361.049988,365.209991,354.640015,358.390015,358.390015,6570900
2017-06-01,344,344.880005,337.290009,340.369995,340.369995,7608000
2016-07-20,226.470001,229.800003,225,228.360001,228.360001,2568500
2018-05-14,303.320007,304.940002,291.619995,291.970001,291.970001,7286800
2012-10-17,28.25,28.84,27.799999,28.82,28.82,668000
2018-02-06,325.209991,336.220001,323.5,333.970001,333.970001,5088400
2015-11-06,230.699997,233.360001,229.5,232.360001,232.360001,2445300
2011-12-22,27.6,28.049999,27.299999,27.77,27.77,1009400
2017-04-24,309.220001,310.549988,306.019989,308.029999,308.029999,5083500
2013-09-23,184.479996,185.479996,177.110001,181.110001,181.110001,8173400
2015-09-08,245.050003,249.160004,244.050003,248.169998,248.169998,3138200
